Index,True Value,Predicted Value,Absolute Error
2056,0.047527,0.22377947,0.17625246972846986
2077,0.043462,0.07763645,0.03417445052909851
2111,0.044461,0.023980958,0.020480041612744332
2118,0.034279,0.010123705,0.024155295439898965
2137,0.049522,0.032392215,0.01712978501629829
2139,0.046183,0.02921103,0.016971970589637758
2186,0.064391,0.04120444,0.02318655866122246
2193,0.047428,0.031520158,0.01590784194755554
2194,0.060658,0.041479968,0.019178032465457913
2195,0.077259,0.031307742,0.045951258000373835
2205,0.03529,0.009145827,0.026144172967374327
2283,0.02686,0.009394157,0.017465843253433703
2286,1.0,0.8408976,0.15910238027572632
2295,0.062708,0.03111324,0.031594759132146835
2345,0.043628,0.022720976,0.020907024198651314
2395,0.031418,0.0125598535,0.018858146505832674
2396,0.064845,0.029292913,0.035552086846232414
2427,0.050636,0.032255035,0.018380965106248856
2453,0.048685,0.008687515,0.03999748518824577
2462,0.025602,0.008748467,0.016853532919704914
2467,0.064085,0.03714739,0.0269376084125042
2491,0.032421,0.012538587,0.019882413256824015
2498,0.066802,0.039524674,0.02727732558441162
2503,0.043652,0.008821099,0.034830900934755805
2508,0.086546,0.016786307,0.06975969290351867
2548,0.034052,0.009864745,0.024187255269706248
2563,0.033278,0.009095082,0.0241829179404974
2615,0.056869,0.025518332,0.03135066832327843
2632,0.055863,0.031970773,0.023892227107763293
2639,0.042673,0.026594486,0.01607851391243935
2668,0.050857,0.008547589,0.0423094108171463
2674,0.036481,0.012030443,0.02445055682337284
2685,0.08548,0.019896656,0.06558334372520447
